Identifier,Gender,Income,CreditScore,LoanAmount,EmploymentStatus,MaritalStatus,OccupancyStatus,NumDependents,SocialMediaUsageHours,ShoppingFrequencyPerMonth,HealthInsuranceStatus,Age,Age group,Income_bin,LoanAmount_bin,SocialMediaUsageHours_bin,ShoppingFrequencyPerMonth_bin
ID_0001,Female,96534.0,545.2,44116.0,Unemployed,Single,Owner,3.0,21.0,9.0,Yes,61.0,Pre-Retirement,"(90000, 100000]","(40000, 50000]","(20, 25]","(5, 10]"
ID_0002,Male,75106.0,390.0,9782.0,Unemployed,Married,Owner,2.0,9.0,10.0,No,20.0,Young Adults,"(70000, 80000]","(0, 10000]","(5, 10]","(5, 10]"
ID_0005,Male,83230.0,750.0,28557.0,Employed,Single,Owner,1.0,11.0,5.0,No,49.0,Established Adults,"(80000, 90000]","(20000, 30000]","(10, 15]","(0, 5]"
ID_0006,Male,94055.0,664.0,5798.0,Employed,Married,Renter,4.0,19.0,4.0,No,35.0,Early Career,"(90000, 100000]","(0, 10000]","(15, 20]","(0, 5]"
ID_0007,Female,76373.0,650.0,9627.0,Unemployed,Divorced,Renter,2.0,11.0,6.0,Yes,64.0,Pre-Retirement,"(70000, 80000]","(0, 10000]","(10, 15]","(5, 10]"
ID_0008,Female,51480.0,699.0,41183.0,Unemployed,Widowed,Owner,0.0,15.0,21.0,Yes,30.0,Early Career,"(50000, 60000]","(40000, 50000]","(10, 15]","(20, 25]"
ID_0009,Female,88836.0,552.0,12466.0,Employed,Married,Owner,2.0,4.0,11.0,No,57.0,Pre-Retirement,"(80000, 90000]","(10000, 20000]","(0, 5]","(10, 15]"
ID_0010,Male,92258.0,758.0,42614.0,Employed,Divorced,Renter,2.0,15.0,11.0,No,49.0,Established Adults,"(90000, 100000]","(40000, 50000]","(10, 15]","(10, 15]"
ID_0011,Female,59986.0,798.0,12720.0,Retired,Divorced,Renter,2.0,16.0,6.0,No,62.0,Pre-Retirement,"(50000, 60000]","(10000, 20000]","(15, 20]","(5, 10]"
ID_0012,Female,44160.0,807.0,41913.0,Retired,Widowed,Renter,4.0,12.466666666666667,1.0,No,40.0,Established Adults,"(40000, 50000]","(40000, 50000]","(10, 15]","(0, 5]"
ID_0013,Male,99111.0,603.0,37292.0,Unemployed,Married,Renter,1.0,14.0,27.0,No,22.0,Young Adults,"(90000, 100000]","(30000, 40000]","(10, 15]","(25, 30]"
ID_0014,Female,84929.0,800.0,6559.0,Retired,Married,Renter,0.0,12.0,0.0,No,20.0,Young Adults,"(80000, 90000]","(0, 10000]","(10, 15]",
ID_0015,Male,93506.0,465.0,40388.0,Employed,Widowed,Renter,2.0,11.733333333333333,29.0,No,24.0,Young Adults,"(90000, 100000]","(40000, 50000]","(10, 15]","(25, 30]"
ID_0016,Male,54911.0,714.0,19158.0,Unemployed,Married,Renter,0.0,20.0,22.0,No,32.0,Early Career,"(50000, 60000]","(10000, 20000]","(15, 20]","(20, 25]"
ID_0017,Female,51821.0,761.0,30916.0,Student,Single,Renter,2.0,1.0,24.0,Yes,31.0,Early Career,"(50000, 60000]","(30000, 40000]","(0, 5]","(20, 25]"
ID_0018,Male,95039.0,413.0,22057.0,Student,Widowed,Owner,1.8,7.0,17.0,No,35.0,Early Career,"(90000, 100000]","(20000, 30000]","(5, 10]","(15, 20]"
ID_0019,Male,80535.0,732.0,35892.0,Employed,Divorced,Renter,0.0,9.0,11.0,Yes,66.0,Retirees,"(80000, 90000]","(30000, 40000]","(5, 10]","(10, 15]"
ID_0020,Male,32175.0,655.0,41439.0,Retired,Widowed,Owner,3.0,6.0,6.0,Yes,35.0,Early Career,"(30000, 40000]","(40000, 50000]","(5, 10]","(5, 10]"
ID_0021,Male,74771.0,506.0,11706.0,Student,Single,Renter,1.0,9.0,18.0,No,41.0,Established Adults,"(70000, 80000]","(10000, 20000]","(5, 10]","(15, 20]"
ID_0022,Male,86358.0,534.0,12070.0,Retired,Widowed,Renter,0.0,3.0,21.0,Yes,70.0,Retirees,"(80000, 90000]","(10000, 20000]","(0, 5]","(20, 25]"
ID_0023,Male,37327.0,584.9333333333333,40902.0,Student,Divorced,Renter,2.0,10.0,2.0,Yes,68.0,Retirees,"(30000, 40000]","(40000, 50000]","(5, 10]","(0, 5]"
ID_0024,Male,67057.0,654.0,924.0,Retired,Divorced,Renter,2.0,8.0,28.0,No,25.0,Young Adults,"(60000, 70000]","(0, 10000]","(5, 10]","(25, 30]"
ID_0025,Male,26150.0,814.0,26478.0,Student,Widowed,Renter,1.0,3.0,9.0,Yes,18.0,,"(20000, 30000]","(20000, 30000]","(0, 5]","(5, 10]"
ID_0026,Female,24425.0,660.1333333333333,5506.0,Student,Widowed,Owner,1.9333333333333333,2.0,28.0,Yes,26.0,Early Career,"(20000, 30000]","(0, 10000]","(0, 5]","(25, 30]"
ID_0027,Female,36032.0,424.0,46418.0,Unemployed,Single,Renter,2.0,10.0,26.0,Yes,23.0,Young Adults,"(30000, 40000]","(40000, 50000]","(5, 10]","(25, 30]"
ID_0028,Female,22198.0,437.0,35163.0,Unemployed,Single,Owner,0.0,2.0,26.0,Yes,21.0,Young Adults,"(20000, 30000]","(30000, 40000]","(0, 5]","(25, 30]"
ID_0029,Male,80500.0,638.0,24604.0,Employed,Divorced,Owner,3.0,17.0,10.0,Yes,67.0,Retirees,"(80000, 90000]","(20000, 30000]","(15, 20]","(5, 10]"
ID_0030,Male,73394.0,836.0,15310.0,Student,Married,Renter,4.0,18.0,4.0,No,49.0,Established Adults,"(70000, 80000]","(10000, 20000]","(15, 20]","(0, 5]"
ID_0031,Female,40079.0,367.0,8226.0,Retired,Married,Owner,1.0,13.0,1.0,No,27.0,Early Career,"(40000, 50000]","(0, 10000]","(10, 15]","(0, 5]"
ID_0032,Female,56220.0,840.0,11781.0,Student,Married,Renter,2.0,23.0,7.0,No,28.0,Early Career,"(50000, 60000]","(10000, 20000]","(20, 25]","(5, 10]"
ID_0033,Female,61874.0,682.0,5515.0,Retired,Married,Renter,1.3333333333333333,10.0,13.0,Yes,42.0,Established Adults,"(60000, 70000]","(0, 10000]","(5, 10]","(10, 15]"
ID_0034,Male,33859.0,318.0,36133.0,Retired,Divorced,Renter,1.0,23.0,7.0,Yes,57.0,Pre-Retirement,"(30000, 40000]","(30000, 40000]","(20, 25]","(5, 10]"
ID_0035,Female,70460.0,749.0,16972.0,Student,Married,Owner,0.0,1.0,22.0,Yes,47.0,Established Adults,"(70000, 80000]","(10000, 20000]","(0, 5]","(20, 25]"
ID_0036,Female,51419.0,373.0,32092.0,Retired,Married,Renter,1.0,1.0,5.0,No,42.0,Established Adults,"(50000, 60000]","(30000, 40000]","(0, 5]","(0, 5]"
ID_0037,Male,28705.0,575.0,11410.0,Employed,Widowed,Owner,2.0,1.0,0.0,No,47.0,Established Adults,"(20000, 30000]","(10000, 20000]","(0, 5]",
ID_0038,Female,62880.0,347.0,27920.6,Retired,Married,Renter,0.0,9.0,23.0,Yes,46.0,Established Adults,"(60000, 70000]","(20000, 30000]","(5, 10]","(20, 25]"
ID_0039,Female,43236.0,510.0,9095.0,Retired,Widowed,Renter,2.0,22.0,0.0,Yes,41.0,Established Adults,"(40000, 50000]","(0, 10000]","(20, 25]",
